,o_cz,o_cz_name,o_state_name
0,100,Johnson City,Tennessee
18525,200,Morristown,Tennessee
37050,301,Middlesborough,Tennessee
55575,302,Knoxville,Tennessee
74100,401,Winston-Salem,North Carolina
92625,402,Martinsville,Virginia
111150,500,Greensboro,North Carolina
129675,601,North Wilkesboro,North Carolina
148200,602,Galax,Virginia
166725,700,Spartanburg,South Carolina
185250,800,Gastonia,North Carolina
203775,900,Charlotte,North Carolina
222300,1001,Boone,North Carolina
240825,1002,Morganton,North Carolina
259350,1100,Hickory,North Carolina
277875,1201,Franklin,North Carolina
296400,1202,Sylva,North Carolina
314925,1203,Asheville,North Carolina
333450,1204,Andrews,North Carolina
351975,1301,Bennettsville,South Carolina
370500,1302,Florence,South Carolina
389025,1400,Fayetteville,North Carolina
407550,1500,Wilmington,North Carolina
426075,1600,Wilson,North Carolina
444600,1701,Raleigh,North Carolina
463125,1702,Henderson,North Carolina
481650,1800,Goldsboro,North Carolina
500175,1900,Jacksonville,North Carolina
518700,2000,Virginia Beach,Virginia
537225,2100,Washington,North Carolina
555750,2200,South Boston,Virginia
574275,2300,Lynchburg,Virginia
592800,2400,Richmond,Virginia
611325,2500,Newport News,Virginia
629850,2600,Roanoke Rapids,North Carolina
648375,2700,Gulfport,Mississippi
666900,2800,Laurel,Mississippi
685425,2900,Hattiesburg,Mississippi
703950,3001,Kosciusko,Mississippi
722475,3002,Yazoo City,Mississippi
741000,3003,Jackson,Mississippi
759525,3101,McComb,Mississippi
778050,3102,Brookhaven,Mississippi
796575,3201,Jena,Louisiana
815100,3202,Natchez,Mississippi
833625,3203,Vicksburg,Mississippi
852150,3300,New Orleans,Louisiana
870675,3400,Houma,Louisiana
889200,3500,Baton Rouge,Louisiana
907725,3600,Alexandria,Louisiana
926250,3700,Lake Charles,Louisiana
944775,3800,Lafayette,Louisiana
963300,3901,Monroe,Louisiana
981825,3902,Lake Providence,Louisiana
1000350,4001,Magnolia,Arkansas
1018875,4002,Shreveport,Louisiana
1037400,4003,Ruston,Louisiana
1055925,4004,Many,Louisiana
1074450,4101,Crossett,Arkansas
1092975,4102,Pine Bluff,Arkansas
1111500,4103,El Dorado,Arkansas
1130025,4200,Little Rock,Arkansas
1148550,4301,Stuttgart,Arkansas
1167075,4302,Searcy,Arkansas
1185600,4401,London,Kentucky
1204125,4402,Richmond,Kentucky
1222650,4501,West Liberty,Kentucky
1241175,4502,Hazard,Kentucky
1259700,4601,Campbellsville,Kentucky
1278225,4602,Somerset,Kentucky
1296750,4701,Greenwood,Mississippi
1315275,4702,Clarksdale,Mississippi
1333800,4800,Greenville,Mississippi
1352325,4901,Jackson,Tennessee
1370850,4902,Dyersburg,Tennessee
1389375,4903,Lexington,Tennessee
1407900,5000,Tupelo,Mississippi
1426425,5100,Corinth,Mississippi
1444950,5201,New Albany,Mississippi
1463475,5202,Memphis,Tennessee
1482000,5300,West Memphis,Arkansas
1500525,5401,Bowling Green,Kentucky
1519050,5402,Glasgow,Kentucky
1537575,5500,Columbia,Tennessee
1556100,5600,Nashville,Tennessee
1574625,5700,Tullahoma,Tennessee
1593150,5800,Dickson,Tennessee
1611675,5900,Clarksville,Tennessee
1630200,6000,Huntsville,Alabama
1648725,6100,Gadsden,Alabama
1667250,6200,Florence,Alabama
1685775,6301,McMinnville,Tennessee
1704300,6302,Cookeville,Tennessee
1722825,6401,Chattanooga,Tennessee
1741350,6402,Crossville,Tennessee
1759875,6501,Ellijay,Georgia
1778400,6502,Cleveland,Tennessee
1796925,6600,Rome,Georgia
1815450,6700,Tampa,Florida
1833975,6800,Lakeland,Florida
1852500,6900,Sarasota,Florida
1871025,7000,Miami,Florida
1889550,7100,Port St. Lucie,Florida
1908075,7200,Cape Coral,Florida
1926600,7300,Palm Bay,Florida
1945125,7400,Orlando,Florida
1963650,7500,Deltona,Florida
1982175,7600,Jacksonville,Florida
2000700,7700,Lake City,Florida
2019225,7800,Ocala,Florida
2037750,7900,Gainesville,Florida
2056275,8000,Sumter,South Carolina
2074800,8100,Columbia,South Carolina
2093325,8201,Barnwell,South Carolina
2111850,8202,Charleston,South Carolina
2130375,8300,Greenville,South Carolina
2148900,8401,Aiken,Georgia
2167425,8402,Washington,Georgia
2185950,8501,Fitzgerald,Georgia
2204475,8502,Cordele,Georgia
2223000,8503,Valdosta,Georgia
2241525,8601,Waycross,Georgia
2260050,8602,Brunswick,Georgia
2278575,8701,Hinesville,Georgia
2297100,8702,Statesboro,Georgia
2315625,8800,Savannah,Georgia
2334150,8900,Macon,Georgia
2352675,9001,Vidalia,Georgia
2371200,9002,Milledgeville,Georgia
2389725,9003,Dublin,Georgia
2408250,9100,Atlanta,Georgia
2426775,9200,Griffin,Georgia
2445300,9301,Winder,Georgia
2463825,9302,Toccoa,Georgia
2482350,9400,Gainesville,Georgia
2500875,9500,Talladega,Alabama
2519400,9600,LaGrange,Georgia
2537925,9701,Columbus,Georgia
2556450,9702,Americus,Georgia
2574975,9800,Auburn,Alabama
2593500,9900,Tallahassee,Florida
2612025,10000,Panama City,Florida
2630550,10101,Bainbridge,Georgia
2649075,10102,Thomasville,Georgia
2667600,10200,Albany,Georgia
2686125,10301,Eufaula,Georgia
2704650,10302,Dothan,Alabama
2723175,10400,Meridian,Mississippi
2741700,10501,Columbus,Mississippi
2760225,10502,Starkville,Mississippi
2778750,10600,Jasper,Alabama
2797275,10700,Birmingham,Alabama
2815800,10801,Tuscaloosa,Alabama
2834325,10802,Demopolis,Alabama
2852850,10900,Pensacola,Florida
2871375,11001,Mobile,Alabama
2889900,11002,Atmore,Alabama
2908425,11101,Montgomery,Alabama
2926950,11102,Troy,Alabama
2945475,11201,Bluefield,Virginia
2964000,11202,Welch,West Virginia
2982525,11203,Big Stone Gap,Virginia
3001050,11301,Fredericksburg,Virginia
3019575,11302,Baltimore,Maryland
3038100,11303,Colonial Beach,Virginia
3056625,11304,Washington DC,DC
3075150,11401,Marquette,Michigan
3093675,11402,Marinette,Michigan
3112200,11403,Sault Ste. Marie,Michigan
3130725,11500,Jackson,Michigan
3149250,11600,Detroit,Michigan
3167775,11700,Lansing,Michigan
3186300,11800,Mount Pleasant,Michigan
3204825,11900,Saginaw,Michigan
3223350,12001,Big Rapids,Michigan
3241875,12002,Ludington,Michigan
3260400,12100,Kalamazoo,Michigan
3278925,12200,Grand Rapids,Michigan
3297450,12301,Traverse City,Michigan
3315975,12302,Petoskey,Michigan
3334500,12401,Alpena,Michigan
3353025,12402,Grayling charter,Michigan
3371550,12501,Dayton,Ohio
3390075,12502,Washington Court House,Ohio
3408600,12600,Wayne,Indiana
3427125,12701,Cincinnati,Ohio
3445650,12702,Maysville,Kentucky
3464175,12800,Washington,Indiana
3482700,12901,Lexington-Fayette,Kentucky
3501225,12902,Mount Sterling,Kentucky
3519750,12903,Danville,Kentucky
3538275,13000,Elizabethtown,Kentucky
3556800,13101,Louisville,Kentucky
3575325,13102,Madison,Indiana
3593850,13103,Bardstown,Kentucky
3612375,13200,Owensboro,Kentucky
3630900,13300,Findlay,Ohio
3649425,13400,Lima,Ohio
3667950,13501,Toledo,Ohio
3686475,13502,Defiance,Ohio
3705000,13600,South Bend,Indiana
3723525,13700,Concord,Indiana
3742050,13800,Wayne,Indiana
3760575,13900,Center,Indiana
3779100,14000,Muncie,Indiana
3797625,14100,Fort Wayne,Indiana
3816150,14200,Indianapolis,Indiana
3834675,14300,Columbus,Indiana
3853200,14400,Terre Haute,Indiana
3871725,14500,Lafayette,Indiana
3890250,14600,Bloomington,Indiana
3908775,14700,Evansville,Indiana
3927300,14801,Olney,Illinois
3945825,14802,Vincennes,Indiana
3964350,14900,Gary,Indiana
3982875,15000,Canton,Ohio
4001400,15100,Lorain,Ohio
4019925,15200,Cleveland,Ohio
4038450,15300,Parkersburg,West Virginia
4056975,15400,Zanesville,Ohio
4075500,15500,Steubenville,Ohio
4094025,15600,Wheeling,West Virginia
4112550,15700,Scioto,Ohio
4131075,15800,Athens,Ohio
4149600,15900,Columbus,Ohio
4168125,16000,Mansfield,Ohio
4186650,16100,State College,Pennsylvania
4205175,16200,Altoona,Pennsylvania
4223700,16300,Pittsburgh,Pennsylvania
4242225,16400,Youngstown,Ohio
4260750,16500,Erie,Pennsylvania
4279275,16600,Roanoke,Virginia
4297800,16701,Elkins,West Virginia
4316325,16702,Morgantown,West Virginia
4334850,16703,Buckhannon,West Virginia
4353375,16801,Beckley,West Virginia
4371900,16802,Summersville,West Virginia
4390425,16901,Charleston,West Virginia
4408950,16902,Spencer,West Virginia
4427475,17000,Pikeville,Kentucky
4446000,17100,Huntington,Kentucky
4464525,17200,Harrisonburg,Virginia
4483050,17300,Staunton,Virginia
4501575,17400,Hagerstown,Pennsylvania
4520100,17501,Cumberland,Maryland
4538625,17502,Winchester,Virginia
4557150,17600,Charlottesville,Virginia
4575675,17700,Syracuse,New York
4594200,17800,Oneonta,New York
4612725,17900,Union,New York
4631250,18000,Buffalo,New York
4649775,18100,Elmira,New York
4668300,18201,Olean,New York
