,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
0,"Baldwin County, Alabama",193797,45836,1905,2391,9108,12364,10148,6878,3042,147961,0.23651552913615795
1,"Calhoun County, Alabama",112019,28605,1374,962,5027,7247,5681,7166,1148,83414,0.25535846597452216
2,"Cullman County, Alabama",78364,17373,961,709,3895,4512,4002,3067,227,60991,0.22169618702465418
3,"DeKalb County, Alabama",68560,15443,553,580,3333,4387,4546,1888,156,53117,0.22524795799299882
4,"Elmore County, Alabama",77930,19801,1439,1224,4594,3450,4441,4023,630,58129,0.2540870011548826
5,"Etowah County, Alabama",99799,23035,908,1424,4746,5346,5762,4253,596,76764,0.2308139360113829
6,"Houston County, Alabama",100327,25503,1214,1588,5498,5774,5623,5306,500,74824,0.25419877002202795
7,"Jefferson County, Alabama",634055,164721,11300,9697,34352,32291,32847,35011,9223,469334,0.2597897658720458
8,"Lauderdale County, Alabama",90188,20910,1212,1248,5385,3646,3411,5266,742,69278,0.2318490264780237
9,"Lee County, Alabama",149469,54649,1224,2046,7012,8366,7503,23643,4855,94820,0.3656209648823502
10,"Limestone County, Alabama",88425,20598,795,1070,3688,7076,4294,3344,331,67827,0.2329431721798134
11,"Madison County, Alabama",338173,92790,4757,4252,17076,18151,18143,24109,6302,245383,0.274386186951649
12,"Marshall County, Alabama",91225,22945,1370,988,4738,6376,4636,4221,616,68280,0.25152096464784873
13,"Mobile County, Alabama",398568,101338,5255,5672,22357,22343,21152,21054,3505,297230,0.25425523373677766
14,"Montgomery County, Alabama",217029,58406,4247,3164,13119,10729,12150,11898,3099,158623,0.2691161089071046
15,"Morgan County, Alabama",115754,28932,1611,1192,7042,7000,6119,5395,573,86822,0.24994384643295264
16,"St. Clair County, Alabama",83625,20574,978,654,3796,5740,5458,2964,984,63051,0.2460269058295964
17,"Shelby County, Alabama",199139,52933,2562,2946,11468,11040,11918,10143,2856,146206,0.2658093090755703
18,"Talladega County, Alabama",78592,18259,708,822,3622,4815,4419,3189,684,60333,0.2323264454397394
19,"Tuscaloosa County, Alabama",195216,58382,2895,2552,9969,8714,10247,21564,2441,136834,0.2990636013441521
20,"Walker County, Alabama",63621,14119,601,810,3206,2912,3717,2437,436,49502,0.22192357869257007
21,"Anchorage Municipality, Alaska",287613,79620,2959,5121,14485,17138,17159,17708,5050,207993,0.2768303240813176
22,"Fairbanks North Star Borough, Alaska",94478,29928,1106,1573,6511,4009,4727,9975,2027,64550,0.3167721585977688
23,"Matanuska-Susitna Borough, Alaska",94222,27979,1234,1356,6931,6044,6264,5092,1058,66243,0.2969476343104583
24,"Apache County, Arizona",68501,20339,663,1532,4747,4524,5220,3601,52,48162,0.29691537349819713
25,"Cochise County, Arizona",122674,31104,2203,2176,5695,7195,5379,6004,2452,91570,0.2535500595073121
26,"Coconino County, Arizona",132801,47615,2267,1115,6560,7375,6560,21746,1992,85186,0.3585439868675688
27,"Maricopa County, Arizona",3933797,1089838,50772,57993,229495,227775,233703,242081,48019,2843959,0.27704479921053377
28,"Mohave County, Arizona",197687,38819,1766,1770,9448,7791,8992,7840,1212,158868,0.19636597247163445
29,"Navajo County, Arizona",103789,28901,1276,1794,7355,7102,6730,3987,657,74888,0.27845918160884103
30,"Pima County, Arizona",969497,266400,13230,11318,47238,49807,53827,77722,13258,703097,0.2747816651315063
31,"Pinal County, Arizona",386951,95315,5005,6753,20603,24784,21272,14753,2145,291636,0.24632317787006625
32,"Yavapai County, Arizona",212824,44984,2207,1338,8760,7879,9408,13149,2243,167840,0.21136713904446866
33,"Yuma County, Arizona",193658,54731,3542,1976,12153,11646,12884,10895,1635,138927,0.2826167780313749
34,"Benton County, Arkansas",231905,59312,2978,3083,15872,14223,12982,8891,1283,172593,0.2557599016838792
35,"Craighead County, Arkansas",98927,29090,1996,2117,5198,4992,4762,9036,989,69837,0.2940552124293671
36,"Faulkner County, Arkansas",116226,36097,1759,1397,7168,5225,5774,13066,1708,80129,0.3105759468621479
37,"Garland County, Arkansas",94422,20774,2366,1119,3769,4311,5704,3221,284,73648,0.22001228527250005
38,"Jefferson County, Arkansas",69678,18583,2100,539,3006,3664,4302,4643,329,51095,0.26669824047762564
39,"Lonoke County, Arkansas",68653,19932,1746,1223,4837,3453,4420,3805,448,48721,0.2903296287125107
40,"Pulaski County, Arkansas",378031,99110,7257,6449,20763,17445,19770,21110,6316,278921,0.26217426613161354
41,"Saline County, Arkansas",112120,28388,2236,929,4668,8809,6895,4110,741,83732,0.2531930074919729
42,"Sebastian County, Arkansas",121704,32230,1545,1746,6984,6705,8260,6472,518,89474,0.264822848879248
43,"Washington County, Arkansas",212430,66602,3785,3020,10267,12404,11408,21944,3774,145828,0.313524455114626
44,"White County, Arkansas",75695,22371,989,650,4638,3541,4557,6849,1147,53324,0.2955413171279477
45,"Alameda County, California",1550786,413490,24230,21092,76373,76108,76062,106556,33069,1137296,0.26663253343788246
46,"Butte County, California",217850,64557,2891,2873,10088,9955,10982,25116,2652,153293,0.29633692907964193
47,"Contra Costa County, California",1074142,296436,17680,15591,58396,62637,64209,65021,12902,777706,0.27597468491130595
48,"El Dorado County, California",178153,43285,2115,1760,8510,9948,11091,8862,999,134868,0.24296531632922264
49,"Fresno County, California",921492,286339,15078,16027,63668,57931,63691,62690,7254,635153,0.3107341138067395
50,"Humboldt County, California",130575,35765,2033,1761,6427,5434,5377,13796,937,94810,0.273903886655179
51,"Imperial County, California",170111,51224,2926,2807,11420,10472,12990,9884,725,118887,0.3011210327374479
52,"Kern County, California",830365,254661,12932,13957,58381,53944,61587,49663,4197,575704,0.30668561415762946
53,"Kings County, California",143364,45111,2047,2415,10504,8671,10366,10233,875,98253,0.3146605842470913
54,"Lake County, California",62943,13561,837,843,3766,2825,3188,1947,155,49382,0.21544889820949112
55,"Los Angeles County, California",9738158,2729014,157509,129381,495454,495173,577783,735207,138507,7009144,0.2802392403162898
56,"Madera County, California",147780,41913,1487,2236,11209,9545,9347,7514,575,105867,0.2836175395858709
57,"Marin County, California",253966,61095,5573,2927,14172,11977,11445,12142,2859,192871,0.24056369750281534
58,"Mendocino County, California",84354,18851,762,1417,4580,3543,4595,3424,530,65503,0.22347487967375584
59,"Merced County, California",253069,81078,3068,4613,17897,18586,18408,16922,1584,171991,0.3203790270637652
60,"Monterey County, California",412020,120354,6021,5924,24183,26805,25164,28711,3546,291666,0.29210717926314256
61,"Napa County, California",136908,34106,2379,1128,4910,8147,8010,8214,1318,102802,0.24911619481695738
62,"Nevada County, California",96755,19445,854,1020,3567,4575,4102,4490,837,77310,0.20097152601932716
63,"Orange County, California",3030168,864459,47118,37808,156414,165210,175845,233678,48386,2165709,0.28528418226316166
64,"Placer County, California",360314,98601,5727,4531,21607,18952,21284,22064,4436,261713,0.27365298045593567
65,"Riverside County, California",2235330,666715,26378,32265,137684,139554,154908,156083,19843,1568615,0.2982624489448985
66,"Sacramento County, California",1423397,400101,19640,20516,79782,80772,83110,100631,15650,1023296,0.2810888318578724
67,"San Bernardino County, California",2021096,634597,25148,34142,127753,128067,147193,147176,25118,1386499,0.31398656966319266
68,"San Diego County, California",3138649,866106,53087,38790,161921,154165,170183,234709,53251,2272543,0.27594866453687555
69,"San Francisco County, California",827579,165846,11941,6535,23092,22459,22744,58432,20643,661733,0.20039899514124934
70,"San Joaquin County, California",685285,206195,10639,10621,41709,48054,46856,42802,5514,479090,0.30088941097499583
71,"San Luis Obispo County, California",270768,76808,3516,3009,9349,11270,13117,33780,2767,193960,0.28366719848726585
72,"San Mateo County, California",732646,188200,17422,10448,37121,33906,35039,43493,10771,544446,0.2568771275622879
73,"Santa Barbara County, California",424180,134493,6984,5001,20681,22878,22341,51202,5406,289687,0.31706586826347305
74,"Santa Clara County, California",1823719,509589,33139,24119,96120,99476,97451,125815,33469,1314130,0.27942298128165577
75,"Santa Cruz County, California",263457,77734,3832,3431,10846,10805,14054,30413,4353,185723,0.29505384180340627
76,"Shasta County, California",174345,43837,3010,2423,8047,9039,9502,10321,1495,130508,0.2514382402707276
77,"Solano County, California",417019,112936,6402,6032,23042,20917,25963,26806,3774,304083,0.2708173968092581
78,"Sonoma County, California",485076,122190,8144,5904,22959,24149,23370,33075,4589,362886,0.2518986715483759
79,"Stanislaus County, California",509489,154323,7483,7980,35126,30684,34331,34889,3830,355166,0.30289760917311265
80,"Sutter County, California",92820,26474,2169,1406,6837,3907,5844,5868,443,66346,0.2852187028657617
81,"Tulare County, California",434643,138816,6633,7128,31959,33509,33838,23810,1939,295827,0.3193793527101552
82,"Ventura County, California",817201,224871,13536,9836,43869,47425,50034,52536,7635,592330,0.2751722036561384
83,"Yolo County, California",201152,74548,3321,2972,10197,9913,10563,30498,7084,126604,0.3706053133948457
84,"Yuba County, California",70274,21366,1141,1535,3316,4434,6616,3700,624,48908,0.3040384779577084
85,"Adams County, Colorado",459403,129484,7848,7794,30098,31486,27922,19893,4443,329919,0.2818527523764538
86,"Arapahoe County, Colorado",594158,162379,11632,9720,33778,34309,33484,30603,8853,431779,0.27329262586719355
87,"Boulder County, Colorado",304212,93813,5747,3627,13524,16404,13627,33821,7063,210399,0.3083803400260345
88,"Denver County, Colorado",636553,156390,13684,8689,30929,28797,24099,36830,13362,480163,0.24568260616162363
89,"Douglas County, Colorado",303976,93936,6378,5018,22465,21210,20742,13410,4713,210040,0.30902439666289444
90,"El Paso County, Colorado",634919,191403,9346,10526,34503,39973,35921,52622,8512,443516,0.30146050126079077
91,"Jefferson County, Colorado",541696,132987,10327,6846,25736,25461,29121,28166,7330,408709,0.24550116670604916
