,state,average,inbound_migration
0,ALABAMA,0.1377688807375079,99862
1,ALASKA,0.1551982823502666,32915
2,ARIZONA,0.1415893567467024,238284
3,ARKANSAS,0.1482539490709525,57806
4,CALIFORNIA,0.1517896868070704,450816
5,COLORADO,0.149434693118559,236936
6,CONNECTICUT,0.1417358188226598,85779
7,DELAWARE,0.1343355092135671,31838
8,DISTRICT OF COLUMBIA,0.1405566484777614,53582
9,FLORIDA,0.1226123081981473,535474
10,GEORGIA,0.1585083270763685,258249
11,HAWAII,0.1229653211498678,46870
12,IDAHO,0.1549069599145938,75943
13,ILLINOIS,0.1496975751816268,190531
14,INDIANA,0.1484010384261125,145727
15,IOWA,0.1646771555275728,68176
16,KANSAS,0.1676156433233534,95389
17,KENTUCKY,0.1465378952495564,98800
18,LOUISIANA,0.1434928103869791,60301
19,MAINE,0.1257223810850879,34889
20,MARYLAND,0.1465401846056896,137623
21,MASSACHUSETTS,0.1406124421888488,137786
22,MICHIGAN,0.1452780840154854,121643
23,MINNESOTA,0.155147030339818,103571
24,MISSISSIPPI,0.1512085867354738,53531
25,MISSOURI,0.1445550437960574,148755
26,MONTANA,0.1350981797228828,41189
27,NEBRASKA,0.1648970484517633,45397
28,NEVADA,0.1385069438751563,123515
29,NEW HAMPSHIRE,0.1369662625531156,45210
30,NEW JERSEY,0.1385413961291725,145189
31,NEW MEXICO,0.1509290099740667,54495
32,NEW YORK,0.1387615073569884,250213
33,NORTH CAROLINA,0.1376018115068542,292160
34,NORTH DAKOTA,0.1508856042907779,34883
35,OHIO,0.1378038696840684,212833
36,OKLAHOMA,0.1543874098564483,96588
37,OREGON,0.1369389893079864,128038
38,PENNSYLVANIA,0.1275803246145952,272262
39,RHODE ISLAND,0.134250400016377,34723
40,SOUTH CAROLINA,0.1392464237523928,165593
41,SOUTH DAKOTA,0.1394791146104274,26806
42,TENNESSEE,0.1370227630183915,192161
43,TEXAS,0.1557359656960734,517355
44,UTAH,0.1893153587475483,92731
45,VERMONT,0.1574090540549901,18439
46,VIRGINIA,0.148160770919417,255261
47,WASHINGTON,0.1351340134374075,221559
48,WEST VIRGINIA,0.1346691551174606,41255
49,WISCONSIN,0.1421968346065478,107030
50,WYOMING,0.1388536508038513,25596
