,state,average
0,Alabama,0.1377688807375079
1,Alaska,0.15519828235026661
2,Arizona,0.1415893567467024
3,Arkansas,0.1482539490709525
4,California,0.15178968680707042
5,Colorado,0.149434693118559
6,Connecticut,0.1417358188226598
7,Delaware,0.1343355092135671
8,District of Columbia,0.1405566484777614
9,Florida,0.1226123081981473
10,Georgia,0.15850832707636855
11,Hawaii,0.12296532114986782
12,Idaho,0.15490695991459383
13,Illinois,0.14969757518162688
14,Indiana,0.14840103842611257
15,Iowa,0.1646771555275728
16,Kansas,0.16761564332335346
17,Kentucky,0.14653789524955643
18,Louisiana,0.14349281038697914
19,Maine,0.12572238108508796
20,Maryland,0.1465401846056896
21,Massachusetts,0.14061244218884883
22,Michigan,0.14527808401548542
23,Minnesota,0.155147030339818
24,Mississippi,0.15120858673547383
25,Missouri,0.14455504379605744
26,Montana,0.13509817972288282
27,Nebraska,0.1648970484517633
28,Nevada,0.13850694387515636
29,New Hampshire,0.13696626255311564
30,New Jersey,0.13854139612917257
31,New Mexico,0.15092900997406672
32,New York,0.13876150735698844
33,North Carolina,0.13760181150685422
34,North Dakota,0.15088560429077794
35,Ohio,0.1378038696840684
36,Oklahoma,0.15438740985644836
37,Oregon,0.13693898930798645
38,Pennsylvania,0.12758032461459523
39,Rhode Island,0.13425040001637709
40,South Carolina,0.13924642375239285
41,South Dakota,0.1394791146104274
42,Tennessee,0.13702276301839156
43,Texas,0.15573596569607343
44,Utah,0.18931535874754835
45,Vermont,0.15740905405499014
46,Virginia,0.14816077091941704
47,Washington,0.13513401343740755
48,West Virginia,0.13466915511746066
49,Wisconsin,0.14219683460654783
50,Wyoming,0.13885365080385137
51,Puerto Rico,0.14260487284857398
