o_cz,o_cz_name,o_state_name,d_cz,d_cz_name,d_state_name,n,n_tot_o,n_tot_d,pool
39203,Bend,Oregon,38801,Portland,Oregon,14,87,7030,Asian
39203,Bend,Oregon,30200,Muskogee,Oklahoma,0,87,47,Asian
39203,Bend,Oregon,15200,Cleveland,Ohio,0,87,2220,Asian
39203,Bend,Oregon,4002,Shreveport,Louisiana,0,87,275,Asian
39203,Bend,Oregon,29301,Wichita,Kansas,0,87,1213,Asian
39203,Bend,Oregon,30908,Plainview,Texas,0,87,4,Asian
39203,Bend,Oregon,26412,Williston,North Dakota,0,87,15,Asian
39203,Bend,Oregon,5000,Tupelo,Mississippi,0,87,55,Asian
39203,Bend,Oregon,27703,Torrington,Wyoming,0,87,1,Asian
39203,Bend,Oregon,28900,Denver,Colorado,0,87,6089,Asian
39203,Bend,Oregon,17700,Syracuse,New York,0,87,803,Asian
39203,Bend,Oregon,37200,Fresno,California,0,87,9159,Asian
39203,Bend,Oregon,200,Morristown,Tennessee,0,87,75,Asian
39203,Bend,Oregon,34308,Billings,Montana,0,87,70,Asian
39203,Bend,Oregon,3700,Lake Charles,Louisiana,0,87,187,Asian
39203,Bend,Oregon,39203,Bend,Oregon,39,87,105,Asian
39203,Bend,Oregon,26501,Brookings,South Dakota,0,87,15,Asian
39203,Bend,Oregon,26407,Plentywood,Montana,0,87,0,Asian
39203,Bend,Oregon,8502,Cordele,Georgia,0,87,10,Asian
39203,Bend,Oregon,35702,Burley,Idaho,0,87,9,Asian
39203,Bend,Oregon,28703,Granby,Colorado,0,87,5,Asian
39203,Bend,Oregon,31102,La Grange,Texas,0,87,8,Asian
39203,Bend,Oregon,7500,Deltona,Florida,0,87,469,Asian
39203,Bend,Oregon,11001,Mobile,Alabama,0,87,512,Asian
39203,Bend,Oregon,8201,Barnwell,South Carolina,0,87,12,Asian
39203,Bend,Oregon,23302,Douglas,Illinois,0,87,18,Asian
39203,Bend,Oregon,28609,Lexington,Nebraska,0,87,10,Asian
39203,Bend,Oregon,36303,Jackson,Wyoming,0,87,12,Asian
39203,Bend,Oregon,36403,Soda Springs,Idaho,0,87,6,Asian
39203,Bend,Oregon,35801,Boise City,Idaho,1,87,584,Asian
39203,Bend,Oregon,30502,Enid,Oklahoma,0,87,44,Asian
39203,Bend,Oregon,26410,Dickinson,North Dakota,0,87,18,Asian
39203,Bend,Oregon,28606,Wano,Kansas,0,87,1,Asian
39203,Bend,Oregon,30403,Okmulgee,Oklahoma,0,87,11,Asian
39203,Bend,Oregon,28704,Laramie,Wyoming,0,87,24,Asian
39203,Bend,Oregon,20100,Portland,Maine,0,87,450,Asian
39203,Bend,Oregon,39302,Bellingham,Washington,0,87,327,Asian
39203,Bend,Oregon,8202,Charleston,South Carolina,0,87,653,Asian
39203,Bend,Oregon,37400,Sacramento,California,0,87,23266,Asian
39203,Bend,Oregon,34604,Lusk,Wyoming,0,87,-1,Asian
39203,Bend,Oregon,19300,Poughkeepsie,New York,0,87,997,Asian
39203,Bend,Oregon,22700,Wausau,Wisconsin,0,87,1011,Asian
39203,Bend,Oregon,17300,Staunton,Virginia,0,87,70,Asian
39203,Bend,Oregon,35803,McCall,Idaho,0,87,2,Asian
39203,Bend,Oregon,34803,Tucumcari,New Mexico,0,87,1,Asian
39203,Bend,Oregon,38802,The Dalles,Oregon,0,87,55,Asian
39203,Bend,Oregon,21502,Pine City,Minnesota,0,87,6,Asian
39203,Bend,Oregon,37903,Mammoth Lakes,California,0,87,39,Asian
39203,Bend,Oregon,34702,Kapaa,Hawaii,0,87,796,Asian
39203,Bend,Oregon,33603,Frederick,Oklahoma,0,87,2,Asian
39203,Bend,Oregon,19600,Newark,New Jersey,0,87,24780,Asian
39203,Bend,Oregon,39100,Kennewick,Washington,1,87,353,Asian
39203,Bend,Oregon,10302,Dothan,Alabama,0,87,117,Asian
39203,Bend,Oregon,11203,Big Stone Gap,Virginia,0,87,13,Asian
39203,Bend,Oregon,31600,Brownsville,Texas,0,87,253,Asian
39203,Bend,Oregon,34301,Cody,Wyoming,0,87,15,Asian
39203,Bend,Oregon,34309,Harlowton,Montana,0,87,2,Asian
39203,Bend,Oregon,1400,Fayetteville,North Carolina,0,87,655,Asian
39203,Bend,Oregon,38000,San Diego,California,1,87,20201,Asian
39203,Bend,Oregon,27302,Fairmont,Minnesota,0,87,15,Asian
39203,Bend,Oregon,34306,Jordan,Montana,0,87,1,Asian
39203,Bend,Oregon,11002,Atmore,Alabama,0,87,5,Asian
39203,Bend,Oregon,25104,Heber Springs,Arkansas,0,87,9,Asian
39203,Bend,Oregon,30901,Clovis,New Mexico,0,87,65,Asian
39203,Bend,Oregon,36000,Provo,Utah,0,87,540,Asian
39203,Bend,Oregon,32802,Corsicana,Texas,0,87,31,Asian
39203,Bend,Oregon,3202,Natchez,Mississippi,0,87,11,Asian
39203,Bend,Oregon,11302,Baltimore,Maryland,0,87,5641,Asian
39203,Bend,Oregon,16100,State College,Pennsylvania,0,87,158,Asian
39203,Bend,Oregon,21701,Rochester,Minnesota,0,87,525,Asian
39203,Bend,Oregon,28202,Omaha,Nebraska,0,87,814,Asian
39203,Bend,Oregon,29003,Dodge City,Kansas,0,87,21,Asian
39203,Bend,Oregon,34401,Dillon,Montana,0,87,-1,Asian
39203,Bend,Oregon,4302,Searcy,Arkansas,0,87,22,Asian
39203,Bend,Oregon,602,Galax,Virginia,0,87,8,Asian
39203,Bend,Oregon,29403,Bartlesville,Kansas,0,87,55,Asian
39203,Bend,Oregon,26605,Aberdeen,South Dakota,0,87,7,Asian
39203,Bend,Oregon,34703,Kahului,Hawaii,0,87,1917,Asian
39203,Bend,Oregon,32501,Abilene,Texas,0,87,129,Asian
39203,Bend,Oregon,35600,Hilo,Hawaii,0,87,1583,Asian
39203,Bend,Oregon,25401,Paducah,Kentucky,0,87,35,Asian
39203,Bend,Oregon,37602,Winnemucca,Nevada,0,87,6,Asian
39203,Bend,Oregon,7900,Gainesville,Florida,0,87,520,Asian
39203,Bend,Oregon,26106,Centerville,Iowa,0,87,-1,Asian
39203,Bend,Oregon,27005,Yankton,South Dakota,0,87,9,Asian
39203,Bend,Oregon,302,Knoxville,Tennessee,0,87,392,Asian
39203,Bend,Oregon,34110,Sitka,Alaska,0,87,24,Asian
39203,Bend,Oregon,34304,Sheridan,Wyoming,0,87,12,Asian
39203,Bend,Oregon,12402,Grayling charter,Michigan,0,87,26,Asian
39203,Bend,Oregon,16902,Spencer,West Virginia,0,87,0,Asian
39203,Bend,Oregon,33700,Ardmore,Oklahoma,0,87,34,Asian
39203,Bend,Oregon,30604,Deming,New Mexico,0,87,9,Asian
39203,Bend,Oregon,24801,Jacksonville,Illinois,0,87,16,Asian
39203,Bend,Oregon,30602,Alamogordo,New Mexico,0,87,60,Asian
39203,Bend,Oregon,37300,Chico,California,0,87,1875,Asian
39203,Bend,Oregon,32304,Uvalde,Texas,0,87,9,Asian
39203,Bend,Oregon,32900,Killeen,Texas,0,87,586,Asian
39203,Bend,Oregon,35500,Gallup,Arizona,0,87,53,Asian
39203,Bend,Oregon,29103,Beloit,Kansas,0,87,-2,Asian
39203,Bend,Oregon,34902,Socorro,New Mexico,0,87,7,Asian
39203,Bend,Oregon,30905,Wellington,Texas,0,87,2,Asian
39203,Bend,Oregon,17400,Hagerstown,Pennsylvania,0,87,240,Asian
39203,Bend,Oregon,6900,Sarasota,Florida,0,87,528,Asian
39203,Bend,Oregon,8503,Valdosta,Georgia,0,87,132,Asian
39203,Bend,Oregon,36302,Salmon,Idaho,0,87,5,Asian
39203,Bend,Oregon,27604,Murdo,South Dakota,0,87,-2,Asian
39203,Bend,Oregon,31401,Midland,Texas,0,87,173,Asian
39203,Bend,Oregon,38402,Pullman,Washington,0,87,118,Asian
39203,Bend,Oregon,10600,Jasper,Alabama,0,87,25,Asian
39203,Bend,Oregon,35802,Ontario,Oregon,0,87,37,Asian
39203,Bend,Oregon,34402,Bozeman,Montana,0,87,58,Asian
39203,Bend,Oregon,35905,Loa,Utah,0,87,1,Asian
39203,Bend,Oregon,34804,Clayton,New Mexico,0,87,3,Asian
39203,Bend,Oregon,38902,Newport,Oregon,0,87,26,Asian
39203,Bend,Oregon,30000,Russellville,Arkansas,0,87,113,Asian
39203,Bend,Oregon,4902,Dyersburg,Tennessee,0,87,8,Asian
39203,Bend,Oregon,34109,Juneau,Alaska,0,87,110,Asian
39203,Bend,Oregon,28701,Salida,Colorado,0,87,5,Asian
39203,Bend,Oregon,39205,John Day,Oregon,0,87,1,Asian
39203,Bend,Oregon,23600,Burlington,Iowa,0,87,37,Asian
39203,Bend,Oregon,32202,Nacogdoches,Texas,0,87,31,Asian
39203,Bend,Oregon,26301,Devils Lake,North Dakota,0,87,8,Asian
39203,Bend,Oregon,13600,South Bend,Indiana,0,87,355,Asian
39203,Bend,Oregon,12502,Washington Court House,Ohio,0,87,28,Asian
39203,Bend,Oregon,21102,Amery,Wisconsin,0,87,11,Asian
39203,Bend,Oregon,33602,Altus,Oklahoma,0,87,15,Asian
39203,Bend,Oregon,18000,Buffalo,New York,0,87,2243,Asian
39203,Bend,Oregon,26401,Ekalaka,South Dakota,0,87,4,Asian
39203,Bend,Oregon,25102,West Plains,Missouri,0,87,14,Asian
39203,Bend,Oregon,27001,O'Neill,Nebraska,0,87,2,Asian
39203,Bend,Oregon,27401,Storm Lake,Iowa,0,87,79,Asian
39203,Bend,Oregon,27010,Miller,South Dakota,0,87,1,Asian
39203,Bend,Oregon,16801,Beckley,West Virginia,0,87,47,Asian
39203,Bend,Oregon,10700,Birmingham,Alabama,0,87,539,Asian
39203,Bend,Oregon,26502,Madison,South Dakota,0,87,2,Asian
39203,Bend,Oregon,2100,Washington,North Carolina,0,87,23,Asian
39203,Bend,Oregon,34111,Ketchikan,Alaska,0,87,32,Asian
39203,Bend,Oregon,5201,New Albany,Mississippi,0,87,5,Asian
39203,Bend,Oregon,14100,Fort Wayne,Indiana,0,87,308,Asian
39203,Bend,Oregon,34603,Casper,Wyoming,0,87,44,Asian
39203,Bend,Oregon,28607,McCook,Nebraska,0,87,0,Asian
39203,Bend,Oregon,8402,Washington,Georgia,0,87,7,Asian
39203,Bend,Oregon,33000,Fort Worth,Texas,0,87,4484,Asian
39203,Bend,Oregon,36800,Medford,Oregon,0,87,146,Asian
39203,Bend,Oregon,11700,Lansing,Michigan,0,87,548,Asian
39203,Bend,Oregon,34104,Bristol Bay,Alaska,0,87,3,Asian
39203,Bend,Oregon,30401,Stillwater,Oklahoma,0,87,42,Asian
39203,Bend,Oregon,24000,Kenosha,Wisconsin,0,87,387,Asian
39203,Bend,Oregon,34106,Nome,Alaska,0,87,1,Asian
39203,Bend,Oregon,4004,Many,Louisiana,0,87,2,Asian
39203,Bend,Oregon,2200,South Boston,Virginia,0,87,47,Asian
39203,Bend,Oregon,36901,Crescent City,California,0,87,71,Asian
39203,Bend,Oregon,35201,Grand Junction,Colorado,0,87,80,Asian
39203,Bend,Oregon,9900,Tallahassee,Florida,0,87,386,Asian
39203,Bend,Oregon,23100,Madison,Wisconsin,0,87,1608,Asian
39203,Bend,Oregon,27501,Des Moines,Iowa,0,87,1034,Asian
39203,Bend,Oregon,4800,Greenville,Mississippi,0,87,32,Asian
39203,Bend,Oregon,4003,Ruston,Louisiana,0,87,19,Asian
39203,Bend,Oregon,35300,Farmington,New Mexico,0,87,54,Asian
39203,Bend,Oregon,36503,Lakeview,Oregon,0,87,4,Asian
39203,Bend,Oregon,32301,San Angelo,Texas,0,87,82,Asian
39203,Bend,Oregon,36902,Roseburg,Oregon,0,87,86,Asian
39203,Bend,Oregon,26103,Brookfield,Missouri,0,87,0,Asian
39203,Bend,Oregon,36401,Steamboat Springs,Colorado,0,87,19,Asian
39203,Bend,Oregon,20002,Calais,Maine,0,87,3,Asian
39203,Bend,Oregon,30300,Fayetteville,Arkansas,0,87,651,Asian
39203,Bend,Oregon,19400,New York,New York,0,87,57763,Asian
39203,Bend,Oregon,22900,La Crosse,Wisconsin,0,87,488,Asian
39203,Bend,Oregon,26601,Milbank,Minnesota,0,87,5,Asian
39203,Bend,Oregon,11401,Marquette,Michigan,0,87,33,Asian
39203,Bend,Oregon,12302,Petoskey,Michigan,0,87,22,Asian
39203,Bend,Oregon,29006,Hays,Kansas,0,87,18,Asian
39203,Bend,Oregon,37604,Reno,Nevada,2,87,1125,Asian
39203,Bend,Oregon,34403,Helena,Montana,0,87,28,Asian
39203,Bend,Oregon,32306,Eagle Pass,Texas,0,87,9,Asian
39203,Bend,Oregon,15900,Columbus,Ohio,0,87,2583,Asian
39203,Bend,Oregon,31501,Crystal City,Texas,0,87,6,Asian
39203,Bend,Oregon,9100,Atlanta,Georgia,0,87,9684,Asian
39203,Bend,Oregon,36404,Rock Springs,Wyoming,0,87,23,Asian
39203,Bend,Oregon,8701,Hinesville,Georgia,0,87,118,Asian
39203,Bend,Oregon,33902,Sherman,Texas,0,87,62,Asian
39203,Bend,Oregon,36501,Klamath Falls,California,0,87,101,Asian
39203,Bend,Oregon,32604,Vernon,Texas,0,87,2,Asian
39203,Bend,Oregon,29401,Ottawa,Kansas,0,87,18,Asian
39203,Bend,Oregon,16802,Summersville,West Virginia,0,87,3,Asian
39203,Bend,Oregon,26406,Wolf Point,Montana,0,87,0,Asian
39203,Bend,Oregon,10400,Meridian,Mississippi,0,87,35,Asian
39203,Bend,Oregon,8000,Sumter,South Carolina,0,87,107,Asian
39203,Bend,Oregon,35001,Phoenix,Arizona,1,87,6311,Asian
39203,Bend,Oregon,12301,Traverse City,Michigan,0,87,40,Asian
39203,Bend,Oregon,36200,Logan,Utah,0,87,148,Asian
39203,Bend,Oregon,16701,Elkins,West Virginia,0,87,4,Asian
39203,Bend,Oregon,26703,Thief River Falls,Minnesota,0,87,8,Asian
39203,Bend,Oregon,35202,Gunnison,Colorado,0,87,6,Asian
39203,Bend,Oregon,21004,Rhinelander,Wisconsin,0,87,21,Asian
39203,Bend,Oregon,11500,Jackson,Michigan,0,87,70,Asian
39203,Bend,Oregon,25900,Jonesboro,Arkansas,0,87,47,Asian
39203,Bend,Oregon,32201,Huntsville,Texas,0,87,67,Asian
39203,Bend,Oregon,35701,Twin Falls,Idaho,0,87,37,Asian
