o_state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,4900,5250,1750,6300,6300,5950,350,350,700,5600,9800,1400,3150,6300,5950,7700,11200,7350,4200,1400,1050,1750,6300,8050,6650,8400,7700,7700,1750,700,700,4900,4200,7350,7000,5950,5600,4900,4550,350,2800,8400,6650,22400,3150,1050,5950,4200,3500,5250,4550
Alaska,5250,5625,1875,6750,6750,6375,375,375,750,6000,10500,1500,3375,6750,6375,8250,12000,7875,4500,1500,1125,1875,6750,8625,7125,9000,8250,8250,1875,750,750,5250,4500,7875,7500,6375,6000,5250,4875,375,3000,9000,7125,24000,3375,1125,6375,4500,3750,5625,4875
Arizona,1750,1875,625,2250,2250,2125,125,125,250,2000,3500,500,1125,2250,2125,2750,4000,2625,1500,500,375,625,2250,2875,2375,3000,2750,2750,625,250,250,1750,1500,2625,2500,2125,2000,1750,1625,125,1000,3000,2375,8000,1125,375,2125,1500,1250,1875,1625
Arkansas,6300,6750,2250,8100,8100,7650,450,450,900,7200,12600,1800,4050,8100,7650,9900,14400,9450,5400,1800,1350,2250,8100,10350,8550,10800,9900,9900,2250,900,900,6300,5400,9450,9000,7650,7200,6300,5850,450,3600,10800,8550,28800,4050,1350,7650,5400,4500,6750,5850
California,6300,6750,2250,8100,8100,7650,450,450,900,7200,12600,1800,4050,8100,7650,9900,14400,9450,5400,1800,1350,2250,8100,10350,8550,10800,9900,9900,2250,900,900,6300,5400,9450,9000,7650,7200,6300,5850,450,3600,10800,8550,28800,4050,1350,7650,5400,4500,6750,5850
Colorado,5950,6375,2125,7650,7650,7225,425,425,850,6800,11900,1700,3825,7650,7225,9350,13600,8925,5100,1700,1275,2125,7650,9775,8075,10200,9350,9350,2125,850,850,5950,5100,8925,8500,7225,6800,5950,5525,425,3400,10200,8075,27200,3825,1275,7225,5100,4250,6375,5525
Connecticut,350,375,125,450,450,425,25,25,50,400,700,100,225,450,425,550,800,525,300,100,75,125,450,575,475,600,550,550,125,50,50,350,300,525,500,425,400,350,325,25,200,600,475,1600,225,75,425,300,250,375,325
DC,350,375,125,450,450,425,25,25,50,400,700,100,225,450,425,550,800,525,300,100,75,125,450,575,475,600,550,550,125,50,50,350,300,525,500,425,400,350,325,25,200,600,475,1600,225,75,425,300,250,375,325
Delaware,700,750,250,900,900,850,50,50,100,800,1400,200,450,900,850,1100,1600,1050,600,200,150,250,900,1150,950,1200,1100,1100,250,100,100,700,600,1050,1000,850,800,700,650,50,400,1200,950,3200,450,150,850,600,500,750,650
Florida,5600,6000,2000,7200,7200,6800,400,400,800,6400,11200,1600,3600,7200,6800,8800,12800,8400,4800,1600,1200,2000,7200,9200,7600,9600,8800,8800,2000,800,800,5600,4800,8400,8000,6800,6400,5600,5200,400,3200,9600,7600,25600,3600,1200,6800,4800,4000,6000,5200
Georgia,9800,10500,3500,12600,12600,11900,700,700,1400,11200,19600,2800,6300,12600,11900,15400,22400,14700,8400,2800,2100,3500,12600,16100,13300,16800,15400,15400,3500,1400,1400,9800,8400,14700,14000,11900,11200,9800,9100,700,5600,16800,13300,44800,6300,2100,11900,8400,7000,10500,9100
Hawaii,1400,1500,500,1800,1800,1700,100,100,200,1600,2800,400,900,1800,1700,2200,3200,2100,1200,400,300,500,1800,2300,1900,2400,2200,2200,500,200,200,1400,1200,2100,2000,1700,1600,1400,1300,100,800,2400,1900,6400,900,300,1700,1200,1000,1500,1300
Idaho,3150,3375,1125,4050,4050,3825,225,225,450,3600,6300,900,2025,4050,3825,4950,7200,4725,2700,900,675,1125,4050,5175,4275,5400,4950,4950,1125,450,450,3150,2700,4725,4500,3825,3600,3150,2925,225,1800,5400,4275,14400,2025,675,3825,2700,2250,3375,2925
Illinois,6300,6750,2250,8100,8100,7650,450,450,900,7200,12600,1800,4050,8100,7650,9900,14400,9450,5400,1800,1350,2250,8100,10350,8550,10800,9900,9900,2250,900,900,6300,5400,9450,9000,7650,7200,6300,5850,450,3600,10800,8550,28800,4050,1350,7650,5400,4500,6750,5850
Indiana,5950,6375,2125,7650,7650,7225,425,425,850,6800,11900,1700,3825,7650,7225,9350,13600,8925,5100,1700,1275,2125,7650,9775,8075,10200,9350,9350,2125,850,850,5950,5100,8925,8500,7225,6800,5950,5525,425,3400,10200,8075,27200,3825,1275,7225,5100,4250,6375,5525
Iowa,7700,8250,2750,9900,9900,9350,550,550,1100,8800,15400,2200,4950,9900,9350,12100,17600,11550,6600,2200,1650,2750,9900,12650,10450,13200,12100,12100,2750,1100,1100,7700,6600,11550,11000,9350,8800,7700,7150,550,4400,13200,10450,35200,4950,1650,9350,6600,5500,8250,7150
Kansas,11200,12000,4000,14400,14400,13600,800,800,1600,12800,22400,3200,7200,14400,13600,17600,25600,16800,9600,3200,2400,4000,14400,18400,15200,19200,17600,17600,4000,1600,1600,11200,9600,16800,16000,13600,12800,11200,10400,800,6400,19200,15200,51200,7200,2400,13600,9600,8000,12000,10400
Kentucky,7350,7875,2625,9450,9450,8925,525,525,1050,8400,14700,2100,4725,9450,8925,11550,16800,11025,6300,2100,1575,2625,9450,12075,9975,12600,11550,11550,2625,1050,1050,7350,6300,11025,10500,8925,8400,7350,6825,525,4200,12600,9975,33600,4725,1575,8925,6300,5250,7875,6825
Louisiana,4200,4500,1500,5400,5400,5100,300,300,600,4800,8400,1200,2700,5400,5100,6600,9600,6300,3600,1200,900,1500,5400,6900,5700,7200,6600,6600,1500,600,600,4200,3600,6300,6000,5100,4800,4200,3900,300,2400,7200,5700,19200,2700,900,5100,3600,3000,4500,3900
Maine,1400,1500,500,1800,1800,1700,100,100,200,1600,2800,400,900,1800,1700,2200,3200,2100,1200,400,300,500,1800,2300,1900,2400,2200,2200,500,200,200,1400,1200,2100,2000,1700,1600,1400,1300,100,800,2400,1900,6400,900,300,1700,1200,1000,1500,1300
Maryland,1050,1125,375,1350,1350,1275,75,75,150,1200,2100,300,675,1350,1275,1650,2400,1575,900,300,225,375,1350,1725,1425,1800,1650,1650,375,150,150,1050,900,1575,1500,1275,1200,1050,975,75,600,1800,1425,4800,675,225,1275,900,750,1125,975
Massachusetts,1750,1875,625,2250,2250,2125,125,125,250,2000,3500,500,1125,2250,2125,2750,4000,2625,1500,500,375,625,2250,2875,2375,3000,2750,2750,625,250,250,1750,1500,2625,2500,2125,2000,1750,1625,125,1000,3000,2375,8000,1125,375,2125,1500,1250,1875,1625
Michigan,6300,6750,2250,8100,8100,7650,450,450,900,7200,12600,1800,4050,8100,7650,9900,14400,9450,5400,1800,1350,2250,8100,10350,8550,10800,9900,9900,2250,900,900,6300,5400,9450,9000,7650,7200,6300,5850,450,3600,10800,8550,28800,4050,1350,7650,5400,4500,6750,5850
Minnesota,8050,8625,2875,10350,10350,9775,575,575,1150,9200,16100,2300,5175,10350,9775,12650,18400,12075,6900,2300,1725,2875,10350,13225,10925,13800,12650,12650,2875,1150,1150,8050,6900,12075,11500,9775,9200,8050,7475,575,4600,13800,10925,36800,5175,1725,9775,6900,5750,8625,7475
Mississippi,6650,7125,2375,8550,8550,8075,475,475,950,7600,13300,1900,4275,8550,8075,10450,15200,9975,5700,1900,1425,2375,8550,10925,9025,11400,10450,10450,2375,950,950,6650,5700,9975,9500,8075,7600,6650,6175,475,3800,11400,9025,30400,4275,1425,8075,5700,4750,7125,6175
Missouri,8400,9000,3000,10800,10800,10200,600,600,1200,9600,16800,2400,5400,10800,10200,13200,19200,12600,7200,2400,1800,3000,10800,13800,11400,14400,13200,13200,3000,1200,1200,8400,7200,12600,12000,10200,9600,8400,7800,600,4800,14400,11400,38400,5400,1800,10200,7200,6000,9000,7800
Montana,7700,8250,2750,9900,9900,9350,550,550,1100,8800,15400,2200,4950,9900,9350,12100,17600,11550,6600,2200,1650,2750,9900,12650,10450,13200,12100,12100,2750,1100,1100,7700,6600,11550,11000,9350,8800,7700,7150,550,4400,13200,10450,35200,4950,1650,9350,6600,5500,8250,7150
Nebraska,7700,8250,2750,9900,9900,9350,550,550,1100,8800,15400,2200,4950,9900,9350,12100,17600,11550,6600,2200,1650,2750,9900,12650,10450,13200,12100,12100,2750,1100,1100,7700,6600,11550,11000,9350,8800,7700,7150,550,4400,13200,10450,35200,4950,1650,9350,6600,5500,8250,7150
Nevada,1750,1875,625,2250,2250,2125,125,125,250,2000,3500,500,1125,2250,2125,2750,4000,2625,1500,500,375,625,2250,2875,2375,3000,2750,2750,625,250,250,1750,1500,2625,2500,2125,2000,1750,1625,125,1000,3000,2375,8000,1125,375,2125,1500,1250,1875,1625
New Hampshire,700,750,250,900,900,850,50,50,100,800,1400,200,450,900,850,1100,1600,1050,600,200,150,250,900,1150,950,1200,1100,1100,250,100,100,700,600,1050,1000,850,800,700,650,50,400,1200,950,3200,450,150,850,600,500,750,650
New Jersey,700,750,250,900,900,850,50,50,100,800,1400,200,450,900,850,1100,1600,1050,600,200,150,250,900,1150,950,1200,1100,1100,250,100,100,700,600,1050,1000,850,800,700,650,50,400,1200,950,3200,450,150,850,600,500,750,650
New Mexico,4900,5250,1750,6300,6300,5950,350,350,700,5600,9800,1400,3150,6300,5950,7700,11200,7350,4200,1400,1050,1750,6300,8050,6650,8400,7700,7700,1750,700,700,4900,4200,7350,7000,5950,5600,4900,4550,350,2800,8400,6650,22400,3150,1050,5950,4200,3500,5250,4550
New York,4200,4500,1500,5400,5400,5100,300,300,600,4800,8400,1200,2700,5400,5100,6600,9600,6300,3600,1200,900,1500,5400,6900,5700,7200,6600,6600,1500,600,600,4200,3600,6300,6000,5100,4800,4200,3900,300,2400,7200,5700,19200,2700,900,5100,3600,3000,4500,3900
North Carolina,7350,7875,2625,9450,9450,8925,525,525,1050,8400,14700,2100,4725,9450,8925,11550,16800,11025,6300,2100,1575,2625,9450,12075,9975,12600,11550,11550,2625,1050,1050,7350,6300,11025,10500,8925,8400,7350,6825,525,4200,12600,9975,33600,4725,1575,8925,6300,5250,7875,6825
North Dakota,7000,7500,2500,9000,9000,8500,500,500,1000,8000,14000,2000,4500,9000,8500,11000,16000,10500,6000,2000,1500,2500,9000,11500,9500,12000,11000,11000,2500,1000,1000,7000,6000,10500,10000,8500,8000,7000,6500,500,4000,12000,9500,32000,4500,1500,8500,6000,5000,7500,6500
Ohio,5950,6375,2125,7650,7650,7225,425,425,850,6800,11900,1700,3825,7650,7225,9350,13600,8925,5100,1700,1275,2125,7650,9775,8075,10200,9350,9350,2125,850,850,5950,5100,8925,8500,7225,6800,5950,5525,425,3400,10200,8075,27200,3825,1275,7225,5100,4250,6375,5525
