,o_state_name,d_state_name,n
0,Alabama,Alabama,399099
1,Alabama,Alaska,418
2,Alabama,Arizona,949
3,Alabama,Arkansas,913
4,Alabama,California,4154
5,Alabama,Colorado,2113
6,Alabama,Connecticut,307
7,Alabama,DC,1875
8,Alabama,Delaware,143
9,Alabama,Florida,11129
10,Alabama,Georgia,18778
11,Alabama,Hawaii,548
12,Alabama,Idaho,146
13,Alabama,Illinois,1574
14,Alabama,Indiana,1157
15,Alabama,Iowa,271
16,Alabama,Kansas,504
17,Alabama,Kentucky,1362
18,Alabama,Louisiana,3105
19,Alabama,Maine,106
20,Alabama,Maryland,532
21,Alabama,Massachusetts,660
22,Alabama,Michigan,1171
23,Alabama,Minnesota,389
24,Alabama,Mississippi,5120
25,Alabama,Missouri,1365
26,Alabama,Montana,180
27,Alabama,Nebraska,267
28,Alabama,Nevada,559
29,Alabama,New Hampshire,95
30,Alabama,New Jersey,300
31,Alabama,New Mexico,322
32,Alabama,New York,2396
33,Alabama,North Carolina,3848
34,Alabama,North Dakota,194
35,Alabama,Ohio,1965
36,Alabama,Oklahoma,853
37,Alabama,Oregon,530
38,Alabama,Pennsylvania,1107
39,Alabama,Rhode Island,96
40,Alabama,South Carolina,1680
41,Alabama,South Dakota,91
42,Alabama,Tennessee,11394
43,Alabama,Texas,7720
44,Alabama,Utah,443
45,Alabama,Vermont,54
46,Alabama,Virginia,2041
47,Alabama,Washington,1371
48,Alabama,West Virginia,152
49,Alabama,Wisconsin,458
50,Alabama,Wyoming,172
51,Alaska,Alabama,192
52,Alaska,Alaska,58228
53,Alaska,Arizona,1123
54,Alaska,Arkansas,214
55,Alaska,California,2535
56,Alaska,Colorado,1350
57,Alaska,Connecticut,67
58,Alaska,DC,373
59,Alaska,Delaware,32
60,Alaska,Florida,897
61,Alaska,Georgia,521
62,Alaska,Hawaii,428
63,Alaska,Idaho,650
64,Alaska,Illinois,301
65,Alaska,Indiana,189
66,Alaska,Iowa,145
67,Alaska,Kansas,193
68,Alaska,Kentucky,137
69,Alaska,Louisiana,234
70,Alaska,Maine,63
71,Alaska,Maryland,125
72,Alaska,Massachusetts,235
73,Alaska,Michigan,297
74,Alaska,Minnesota,456
75,Alaska,Mississippi,99
76,Alaska,Missouri,384
77,Alaska,Montana,551
78,Alaska,Nebraska,149
79,Alaska,Nevada,724
80,Alaska,New Hampshire,60
81,Alaska,New Jersey,73
82,Alaska,New Mexico,262
83,Alaska,New York,506
84,Alaska,North Carolina,565
85,Alaska,North Dakota,215
86,Alaska,Ohio,330
87,Alaska,Oklahoma,339
88,Alaska,Oregon,2285
89,Alaska,Pennsylvania,335
90,Alaska,Rhode Island,37
91,Alaska,South Carolina,226
92,Alaska,South Dakota,116
93,Alaska,Tennessee,416
94,Alaska,Texas,1849
95,Alaska,Utah,747
96,Alaska,Vermont,50
97,Alaska,Virginia,387
98,Alaska,Washington,4240
99,Alaska,West Virginia,44
100,Alaska,Wisconsin,272
101,Alaska,Wyoming,198
102,Arizona,Alabama,619
103,Arizona,Alaska,904
104,Arizona,Arizona,426476
105,Arizona,Arkansas,903
106,Arizona,California,23930
107,Arizona,Colorado,7940
108,Arizona,Connecticut,439
109,Arizona,DC,1971
110,Arizona,Delaware,178
111,Arizona,Florida,3591
112,Arizona,Georgia,2094
113,Arizona,Hawaii,1206
114,Arizona,Idaho,1438
115,Arizona,Illinois,3248
116,Arizona,Indiana,1314
117,Arizona,Iowa,900
118,Arizona,Kansas,1017
119,Arizona,Kentucky,662
120,Arizona,Louisiana,802
121,Arizona,Maine,164
122,Arizona,Maryland,534
123,Arizona,Massachusetts,1208
124,Arizona,Michigan,1553
125,Arizona,Minnesota,1275
126,Arizona,Mississippi,313
127,Arizona,Missouri,2151
128,Arizona,Montana,852
129,Arizona,Nebraska,854
130,Arizona,Nevada,3843
131,Arizona,New Hampshire,245
132,Arizona,New Jersey,493
133,Arizona,New Mexico,7431
134,Arizona,New York,4006
135,Arizona,North Carolina,2505
136,Arizona,North Dakota,733
137,Arizona,Ohio,2002
138,Arizona,Oklahoma,1818
139,Arizona,Oregon,4131
140,Arizona,Pennsylvania,1644
141,Arizona,Rhode Island,153
142,Arizona,South Carolina,682
143,Arizona,South Dakota,422
144,Arizona,Tennessee,1819
145,Arizona,Texas,11760
146,Arizona,Utah,5572
147,Arizona,Vermont,117
148,Arizona,Virginia,1534
149,Arizona,Washington,6514
150,Arizona,West Virginia,133
151,Arizona,Wisconsin,1254
152,Arizona,Wyoming,673
153,Arkansas,Alabama,948
154,Arkansas,Alaska,320
155,Arkansas,Arizona,916
156,Arkansas,Arkansas,255318
157,Arkansas,California,3640
158,Arkansas,Colorado,2014
159,Arkansas,Connecticut,110
160,Arkansas,DC,765
161,Arkansas,Delaware,85
162,Arkansas,Florida,2744
163,Arkansas,Georgia,1941
164,Arkansas,Hawaii,313
165,Arkansas,Idaho,180
166,Arkansas,Illinois,1726
167,Arkansas,Indiana,886
168,Arkansas,Iowa,493
169,Arkansas,Kansas,1134
170,Arkansas,Kentucky,695
171,Arkansas,Louisiana,2726
172,Arkansas,Maine,69
173,Arkansas,Maryland,216
174,Arkansas,Massachusetts,295
175,Arkansas,Michigan,669
176,Arkansas,Minnesota,494
177,Arkansas,Mississippi,1254
178,Arkansas,Missouri,8194
179,Arkansas,Montana,168
180,Arkansas,Nebraska,468
181,Arkansas,Nevada,562
182,Arkansas,New Hampshire,61
183,Arkansas,New Jersey,140
184,Arkansas,New Mexico,420
185,Arkansas,New York,1059
186,Arkansas,North Carolina,1352
187,Arkansas,North Dakota,238
188,Arkansas,Ohio,808
189,Arkansas,Oklahoma,8943
190,Arkansas,Oregon,591
191,Arkansas,Pennsylvania,581
192,Arkansas,Rhode Island,67
193,Arkansas,South Carolina,557
194,Arkansas,South Dakota,125
195,Arkansas,Tennessee,5058
196,Arkansas,Texas,13271
197,Arkansas,Utah,450
198,Arkansas,Vermont,30
199,Arkansas,Virginia,865
200,Arkansas,Washington,1146
201,Arkansas,West Virginia,128
202,Arkansas,Wisconsin,633
203,Arkansas,Wyoming,226
204,California,Alabama,3206
205,California,Alaska,3780
206,California,Arizona,44130
207,California,Arkansas,4997
208,California,California,3062484
209,California,Colorado,25064
210,California,Connecticut,2316
211,California,DC,12893
212,California,Delaware,627
213,California,Florida,16271
214,California,Georgia,12951
215,California,Hawaii,9823
216,California,Idaho,8884
217,California,Illinois,11856
218,California,Indiana,4651
219,California,Iowa,3038
220,California,Kansas,3928
221,California,Kentucky,2728
222,California,Louisiana,5270
223,California,Maine,637
224,California,Maryland,2846
225,California,Massachusetts,8318
226,California,Michigan,5032
227,California,Minnesota,4743
228,California,Mississippi,1961
229,California,Missouri,8856
230,California,Montana,4258
231,California,Nebraska,3212
232,California,Nevada,48410
233,California,New Hampshire,839
234,California,New Jersey,3136
235,California,New Mexico,5506
236,California,New York,30934
237,California,North Carolina,12532
238,California,North Dakota,2370
239,California,Ohio,6736
240,California,Oklahoma,7993
241,California,Oregon,36318
242,California,Pennsylvania,7275
243,California,Rhode Island,842
244,California,South Carolina,3248
245,California,South Dakota,1298
246,California,Tennessee,9088
247,California,Texas,57066
248,California,Utah,19296
249,California,Vermont,530
250,California,Virginia,7980
251,California,Washington,40425
252,California,West Virginia,497
253,California,Wisconsin,3799
254,California,Wyoming,2222
255,Colorado,Alabama,798
256,Colorado,Alaska,1069
257,Colorado,Arizona,5871
258,Colorado,Arkansas,828
259,Colorado,California,15861
260,Colorado,Colorado,357252
261,Colorado,Connecticut,444
262,Colorado,DC,2511
263,Colorado,Delaware,146
264,Colorado,Florida,4935
265,Colorado,Georgia,2308
266,Colorado,Hawaii,1170
267,Colorado,Idaho,1150
268,Colorado,Illinois,2866
269,Colorado,Indiana,1088
270,Colorado,Iowa,1120
271,Colorado,Kansas,2384
272,Colorado,Kentucky,582
273,Colorado,Louisiana,1047
274,Colorado,Maine,178
275,Colorado,Maryland,627
276,Colorado,Massachusetts,1400
277,Colorado,Michigan,1210
278,Colorado,Minnesota,1645
279,Colorado,Mississippi,402
280,Colorado,Missouri,2786
281,Colorado,Montana,1529
