o_state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,399099,418,949,913,4154,2113,307,1875,143,11129,18778,548,146,1574,1157,271,504,1362,3105,106,532,660,1171,389,5120,1365,180,267,559,95,300,322,2396,3848,194,1965,853,530,1107,96,1680,91,11394,7720,443,54,2041,1371,152,458,172
Alaska,192,58228,1123,214,2535,1350,67,373,32,897,521,428,650,301,189,145,193,137,234,63,125,235,297,456,99,384,551,149,724,60,73,262,506,565,215,330,339,2285,335,37,226,116,416,1849,747,50,387,4240,44,272,198
Arizona,619,904,426476,903,23930,7940,439,1971,178,3591,2094,1206,1438,3248,1314,900,1017,662,802,164,534,1208,1553,1275,313,2151,852,854,3843,245,493,7431,4006,2505,733,2002,1818,4131,1644,153,682,422,1819,11760,5572,117,1534,6514,133,1254,673
Arkansas,948,320,916,255318,3640,2014,110,765,85,2744,1941,313,180,1726,886,493,1134,695,2726,69,216,295,669,494,1254,8194,168,468,562,61,140,420,1059,1352,238,808,8943,591,581,67,557,125,5058,13271,450,30,865,1146,128,633,226
California,3206,3780,44130,4997,3062484,25064,2316,12893,627,16271,12951,9823,8884,11856,4651,3038,3928,2728,5270,637,2846,8318,5032,4743,1961,8856,4258,3212,48410,839,3136,5506,30934,12532,2370,6736,7993,36318,7275,842,3248,1298,9088,57066,19296,530,7980,40425,497,3799,2222
Colorado,798,1069,5871,828,15861,357252,444,2511,146,4935,2308,1170,1150,2866,1088,1120,2384,582,1047,178,627,1400,1210,1645,402,2786,1529,2665,2359,223,539,3554,4316,2554,947,1504,2498,3176,1594,175,847,790,1874,12620,4399,171,1691,5536,155,1088,3300
Connecticut,428,203,1306,167,8795,2887,260479,4768,345,9900,2705,515,124,1928,507,178,190,329,580,1246,1232,17363,620,389,149,512,219,142,483,1887,2364,252,21485,4754,81,1180,350,818,4307,3097,1905,73,1192,3570,560,1538,2185,1526,123,461,158
DC,1022,325,1727,340,13223,3793,910,328758,1718,9304,5430,830,256,2710,891,286,370,782,1200,269,18732,3228,1101,569,364,1112,281,301,820,302,1635,468,12579,10259,167,2202,611,1096,11594,351,3068,108,2479,6925,1122,307,22868,2670,760,652,175
Delaware,179,65,347,73,1523,493,217,2518,86433,2510,1183,171,38,382,201,79,110,174,176,78,4093,562,189,113,66,244,49,57,157,81,655,79,1952,1818,54,435,126,176,6468,90,596,48,507,1247,160,75,1704,334,167,107,44
Florida,10950,1721,4640,2301,25935,11641,3633,11860,1035,1297203,40860,2559,728,9636,5453,1411,1795,4923,5332,1097,3218,8250,5459,2304,3018,5032,848,1187,3280,1436,5934,1469,31959,23425,1024,9776,2932,3158,11994,1845,8614,602,15739,27141,2122,714,10341,7556,1259,2735,747
Georgia,17196,966,2509,1397,13233,5508,1055,6627,538,30687,809402,1398,406,4393,2429,667,1156,2898,4593,289,1760,2353,2509,1161,2593,2747,476,630,1434,324,1834,800,10491,16181,575,4618,1764,1389,4226,388,14393,286,13974,15543,1470,203,6464,3827,453,1208,393
Hawaii,209,690,1133,110,8530,1250,94,656,33,1141,652,84891,227,403,206,93,154,118,187,44,178,358,219,180,88,370,127,178,3192,37,122,203,1076,673,92,318,267,2294,310,52,204,51,367,2207,1106,29,543,3699,19,178,89
Idaho,144,534,1770,178,4262,1707,88,442,23,783,386,316,95296,409,218,206,226,113,163,42,119,264,263,341,71,422,1308,293,1318,44,49,306,577,516,540,336,354,4149,341,32,187,130,362,2021,7592,31,426,7355,30,191,910
Illinois,2431,867,10391,2607,24983,13194,1022,5964,303,17050,9025,1388,564,1042374,26824,13423,1768,4608,2289,253,1334,3239,7437,8478,2151,25175,900,1892,3629,346,1480,1130,9968,6817,852,6619,2394,2921,3593,319,2279,618,9688,21302,1683,230,3672,6018,321,24001,609
Indiana,1704,618,3797,1106,10418,5488,564,2720,196,11574,5188,804,314,21594,589506,1172,848,9664,1266,179,777,1269,10759,1928,803,4049,435,675,1364,218,566,566,3709,5135,400,12778,1348,1561,2506,170,2116,285,7045,10393,1031,153,2481,3147,355,3034,352
