,state,inbound_migration,outbound_migration,within_state_migration,inbound_migration_rate
0,Alabama,84839,97077,399099,0.14601860537163414
1,Alaska,34415,26216,58228,0.28954475470936153
2,Arizona,183771,121544,426476,0.25112497967315806
3,Arkansas,62441,70774,255318,0.1607096437110876
4,California,504576,524616,3062484,0.12331768204520592
5,Colorado,245699,114530,357252,0.3424466989369753
6,Connecticut,55843,112076,260479,0.13035308288087247
7,DC,218857,154292,328758,0.3118034155522028
8,Delaware,30891,32970,86433,0.20553714719150465
9,Florida,410194,352628,1297203,0.19912088445528572
10,Georgia,261915,214412,809402,0.2037093353264957
11,Hawaii,47822,34756,84891,0.2855573270276887
12,Idaho,43132,42888,95296,0.2378830329369719
13,Illinois,206324,300049,1042374,0.13321995135422376
14,Indiana,112518,160622,589506,0.1304335729835877
15,Iowa,56150,78772,236517,0.1511688325673933
16,Kansas,54225,71305,164579,0.18691250529973216
17,Kentucky,80037,75199,353626,0.15728625835688262
18,Louisiana,83579,91348,440909,0.13571632707409115
19,Maine,20980,34055,88901,0.14575922632281013
20,Maryland,84969,83781,239805,0.20797444652494768
21,Massachusetts,153343,141587,449987,0.20585246410002725
22,Michigan,86484,236602,876573,0.07209048571302346
23,Minnesota,97204,121466,472152,0.1407077365804795
24,Mississippi,45371,76846,258767,0.11908899061377906
25,Missouri,146361,158801,616791,0.15875104262364784
26,Montana,35338,31328,74021,0.25118170122328287
27,Nebraska,44186,48039,162583,0.17340899814762487
28,Nevada,113948,74603,162866,0.32425295304438884
29,New Hampshire,37892,57034,106395,0.1882168278520373
30,New Jersey,87274,199210,504580,0.11032482833247373
31,New Mexico,49046,58785,137239,0.2001305749377729
32,New York,361930,369504,1435174,0.16704913856129028
33,North Carolina,281471,179768,748432,0.2326839281093785
34,North Dakota,39400,21562,66355,0.30946377938531383
35,Ohio,144809,266062,1135013,0.09367391084971446
36,Oklahoma,90925,71664,288811,0.20142888790429775
37,Oregon,129663,94294,301129,0.24693669227517015
38,Pennsylvania,203766,322835,1273456,0.1131997486746253
39,Rhode Island,31811,43627,122387,0.16080374067989384
40,South Carolina,114786,85427,320558,0.22041549932695945
41,South Dakota,25344,26958,65744,0.21469596597936397
42,Tennessee,191617,132153,565380,0.21550582016532643
43,Texas,467209,315284,2234993,0.15483385838409855
44,Utah,92424,55058,252234,0.2312241691601037
45,Vermont,20318,28010,51339,0.20385884997040143
46,Virginia,170677,150609,436953,0.22509657245274906
47,Washington,204326,138338,502860,0.24165606180309487
48,West Virginia,24599,33757,107511,0.14830557012546197
49,Wisconsin,89055,132407,493760,0.12451378732757103
50,Wyoming,27337,25563,41806,0.288651194222119
