state,inbound_migration,outbound_migration,within_state_migration,total,inbound_rate,outbound_rate,within_state_rate
New Hampshire,37892,57034,106395,201321,0.188,0.283,0.528
Vermont,20318,28010,51339,99667,0.204,0.281,0.515
Wyoming,27337,25563,41806,94706,0.289,0.270,0.441
Connecticut,55843,112076,260479,428398,0.130,0.262,0.608
New Jersey,87274,199210,504580,791064,0.110,0.252,0.638
Kansas,54225,71305,164579,290109,0.187,0.246,0.567
New Mexico,49046,58785,137239,245070,0.200,0.240,0.560
Maine,20980,34055,88901,143936,0.146,0.237,0.618
Idaho,43132,42888,95296,181316,0.238,0.237,0.526
South Dakota,25344,26958,65744,118046,0.215,0.228,0.557
Montana,35338,31328,74021,140687,0.251,0.223,0.526
Alaska,34415,26216,58228,118859,0.290,0.221,0.490
Rhode Island,31811,43627,122387,197825,0.161,0.221,0.619
DC,218857,154292,328758,701907,0.312,0.220,0.468
Delaware,30891,32970,86433,150294,0.206,0.219,0.575
Nevada,113948,74603,162866,351417,0.324,0.212,0.463
Iowa,56150,78772,236517,371439,0.151,0.212,0.637
Hawaii,47822,34756,84891,167469,0.286,0.208,0.507
Maryland,84969,83781,239805,408555,0.208,0.205,0.587
West Virginia,24599,33757,107511,165867,0.148,0.204,0.648
Mississippi,45371,76846,258767,380984,0.119,0.202,0.679
Virginia,170677,150609,436953,758239,0.225,0.199,0.576
Michigan,86484,236602,876573,1199659,0.072,0.197,0.731
Illinois,206324,300049,1042374,1548747,0.133,0.194,0.673
Massachusetts,153343,141587,449987,744917,0.206,0.190,0.604
Nebraska,44186,48039,162583,254808,0.173,0.189,0.638
Indiana,112518,160622,589506,862646,0.130,0.186,0.683
Wisconsin,89055,132407,493760,715222,0.125,0.185,0.690
Arkansas,62441,70774,255318,388533,0.161,0.182,0.657
Oregon,129663,94294,301129,525086,0.247,0.180,0.573
Pennsylvania,203766,322835,1273456,1800057,0.113,0.179,0.707
Minnesota,97204,121466,472152,690822,0.141,0.176,0.683
Missouri,146361,158801,616791,921953,0.159,0.172,0.669
Ohio,144809,266062,1135013,1545884,0.094,0.172,0.734
Florida,410194,352628,1297203,2060025,0.199,0.171,0.630
New York,361930,369504,1435174,2166608,0.167,0.171,0.662
North Dakota,39400,21562,66355,127317,0.309,0.169,0.521
Alabama,84839,97077,399099,581015,0.146,0.167,0.687
Georgia,261915,214412,809402,1285729,0.204,0.167,0.630
Arizona,183771,121544,426476,731791,0.251,0.166,0.583
South Carolina,114786,85427,320558,520771,0.220,0.164,0.616
Washington,204326,138338,502860,845524,0.242,0.164,0.595
Colorado,245699,114530,357252,717481,0.342,0.160,0.498
Oklahoma,90925,71664,288811,451400,0.201,0.159,0.640
Tennessee,191617,132153,565380,889150,0.216,0.149,0.636
North Carolina,281471,179768,748432,1209671,0.233,0.149,0.619
Louisiana,83579,91348,440909,615836,0.136,0.148,0.716
Kentucky,80037,75199,353626,508862,0.157,0.148,0.695
Utah,92424,55058,252234,399716,0.231,0.138,0.631
California,504576,524616,3062484,4091676,0.123,0.128,0.748
Texas,467209,315284,2234993,3017486,0.155,0.104,0.741
