County,State,2017,2018,2019,2020,Percent change 2018,Percent change 2019,Percent change 2020
Autauga,Alabama,1587695,1602077,1540762,1520973,0.9,-3.8,-1.3
Baldwin,Alabama,6453588,6799715,7134734,6985901,5.4,4.9,-2.1
Barbour,Alabama,721125,730518,729105,687074,1.3,-0.2,-5.8
Bibb,Alabama,353234,353016,380453,388330,-0.1,7.8,2.1
Blount,Alabama,920401,967135,932215,881874,5.1,-3.6,-5.4
Bullock,Alabama,225304,235358,247229,250385,4.5,5,1.3
Butler,Alabama,584855,609244,615641,574717,4.2,1.1,-6.6
Calhoun,Alabama,3904458,3959304,4114829,3982561,1.4,3.9,-3.2
Chambers,Alabama,785046,807107,817533,808162,2.8,1.3,-1.1
Cherokee,Alabama,508778,540834,527358,475640,6.3,-2.5,-9.8
Chilton,Alabama,880016,918168,980365,957204,4.3,6.8,-2.4
Choctaw,Alabama,505673,546076,492926,488633,8,-9.7,-0.9
Clarke,Alabama,728113,750365,736710,730025,3.1,-1.8,-0.9
Clay,Alabama,368300,444465,419318,407934,20.7,-5.7,-2.7
Cleburne,Alabama,297209,302347,274512,260207,1.7,-9.2,-5.2
Coffee,Alabama,1301763,1326701,1315749,1249738,1.9,-0.8,-5
Colbert,Alabama,2268306,2363329,2341000,2367932,4.2,-0.9,1.2
Conecuh,Alabama,538017,488194,466540,435791,-9.3,-4.4,-6.6
Coosa,Alabama,169996,178018,176482,180648,4.7,-0.9,2.4
Covington,Alabama,1165463,1166050,1100109,1051514,0.1,-5.7,-4.4
Crenshaw,Alabama,419898,448270,428320,374307,6.8,-4.5,-12.6
Cullman,Alabama,2598508,2601327,2649646,2567437,0.1,1.9,-3.1
Dale,Alabama,2591882,2514046,2522516,2427204,-3,0.3,-3.8
Dallas,Alabama,1118491,1122110,1102126,1053089,0.3,-1.8,-4.4
DeKalb,Alabama,1847471,1921659,1857673,1777822,4,-3.3,-4.3
Elmore,Alabama,1777348,1789092,1809270,1709154,0.7,1.1,-5.5
Escambia,Alabama,1238865,1215138,1206764,1153705,-1.9,-0.7,-4.4
Etowah,Alabama,2809493,2841049,2766192,2563314,1.1,-2.6,-7.3
Fayette,Alabama,320476,316814,321519,305877,-1.1,1.5,-4.9
Franklin,Alabama,907706,962638,926671,890896,6.1,-3.7,-3.9
Geneva,Alabama,503896,502402,526336,488863,-0.3,4.8,-7.1
Greene,Alabama,210124,209945,218149,197615,-0.1,3.9,-9.4
Hale,Alabama,271623,246837,241685,241617,-9.1,-2.1,0
Henry,Alabama,391731,396376,407934,389768,1.2,2.9,-4.5
Houston,Alabama,4867988,4880057,4957322,4788927,0.2,1.6,-3.4
Jackson,Alabama,1378489,1437962,1381755,1313862,4.3,-3.9,-4.9
Jefferson,Alabama,40364992,41028930,41244762,39199550,1.6,0.5,-5
Lamar,Alabama,309283,304861,305015,287202,-1.4,0.1,-5.8
Lauderdale,Alabama,2374775,2371552,2367072,2298418,-0.1,-0.2,-2.9
Lawrence,Alabama,478923,504193,501518,524136,5.3,-0.5,4.5
Lee,Alabama,5448360,5389074,5603187,5570011,-1.1,4,-0.6
Limestone,Alabama,3411295,3385841,3572973,3482707,-0.7,5.5,-2.5
Lowndes,Alabama,418011,399841,377807,363769,-4.3,-5.5,-3.7
Macon,Alabama,487572,481537,478726,475374,-1.2,-0.6,-0.7
Madison,Alabama,21789269,22720023,23670284,23543852,4.3,4.2,-0.5
Marengo,Alabama,642708,672252,681595,674690,4.6,1.4,-1
Marion,Alabama,798214,810967,792988,763653,1.6,-2.2,-3.7
Marshall,Alabama,3164613,3245603,3276199,3200499,2.6,0.9,-2.3
Mobile,Alabama,18215505,18455706,18652926,18079418,1.3,1.1,-3.1
Monroe,Alabama,658871,629022,599556,568233,-4.5,-4.7,-5.2
Montgomery,Alabama,12569243,12524276,12558288,12182340,-0.4,0.3,-3
Morgan,Alabama,5034458,5104998,5135887,5092131,1.4,0.6,-0.9
Perry,Alabama,199944,196637,192844,183394,-1.7,-1.9,-4.9
Pickens,Alabama,433779,427099,429936,404316,-1.5,0.7,-6
Pike,Alabama,1304003,1285265,1286294,1235839,-1.4,0.1,-3.9
Randolph,Alabama,474844,484942,464111,425424,2.1,-4.3,-8.3
Russell,Alabama,1323460,1315599,1313851,1285414,-0.6,-0.1,-2.2
St. Clair,Alabama,1822443,1872929,1871513,1824570,2.8,-0.1,-2.5
Shelby,Alabama,10468422,10673132,10814962,10500006,2,1.3,-2.9
Sumter,Alabama,308764,302068,294189,283683,-2.2,-2.6,-3.6
Talladega,Alabama,2867439,2894807,2864298,2756664,1,-1.1,-3.8
Tallapoosa,Alabama,1190058,1213743,1265550,1225259,2,4.3,-3.2
Tuscaloosa,Alabama,9788372,9884658,10491624,10098832,1,6.1,-3.7
Walker,Alabama,1875503,1886388,1694530,1577350,0.6,-10.2,-6.9
Washington,Alabama,753456,742567,789922,732077,-1.4,6.4,-7.3
Wilcox,Alabama,392873,416036,384636,385496,5.9,-7.5,0.2
Winston,Alabama,644729,645050,698066,700955,0,8.2,0.4
Aleutians East Borough,Alaska,225524,196977,211829,190988,-12.7,7.5,-9.8
Aleutians West Census Area,Alaska,385386,375677,372939,360360,-2.5,-0.7,-3.4
Anchorage Municipality,Alaska,21145131,21275142,21096610,20006260,0.6,-0.8,-5.2
Bethel Census Area,Alaska,664874,672009,669380,647483,1.1,-0.4,-3.3
Bristol Bay Borough,Alaska,120325,130396,125131,107600,8.4,-4,-14
Chugach Census Area1,Alaska,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Copper River Census Area1,Alaska,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Denali Borough,Alaska,260727,262098,259591,203501,0.5,-1,-21.6
Dillingham Census Area,Alaska,244154,244349,239239,215253,0.1,-2.1,-10
Fairbanks North Star Borough,Alaska,5355362,5291435,5254634,5092503,-1.2,-0.7,-3.1
Haines Borough,Alaska,102946,109959,108666,85107,6.8,-1.2,-21.7
Hoonah-Angoon Census Area,Alaska,95606,96138,99646,90774,0.6,3.6,-8.9
Juneau City and Borough,Alaska,2386873,2348798,2302465,2183825,-1.6,-2,-5.2
Kenai Peninsula Borough,Alaska,2922115,2628605,2703389,2661120,-10,2.8,-1.6
Ketchikan Gateway Borough,Alaska,822684,819401,838509,745136,-0.4,2.3,-11.1
Kodiak Island Borough,Alaska,720140,703425,717581,680484,-2.3,2,-5.2
Kusilvak Census Area,Alaska,139030,141127,141922,141436,1.5,0.6,-0.3
Lake and Peninsula Borough,Alaska,88522,93420,85613,74371,5.5,-8.4,-13.1
Matanuska-Susitna Borough,Alaska,2403156,2443285,2556968,2534009,1.7,4.7,-0.9
Nome Census Area,Alaska,413472,409188,407769,395401,-1,-0.3,-3
